Symbol,Annotated,HMVEC,HUVEC,TIME,zscore,Regulation
IL1RL2,no,0.152,-0.321,,-0.698562767155,
ANXA2,no,0.546,0.125,,0.108072022577,
IFI16,no,-0.323,-0.805,-0.035,-1.57392428785,
C17orf70,no,-0.781,0.223,-0.532,0.285314644536,
GREM2,no,-0.067,,,,
ITGA5,yes,0.782,0.055,,-0.0185298502512,
SFRP2,no,,-0.926,,-1.79276466803,Down
BMP6,no,-0.169,-0.236,-0.814,-0.544831921579,
PTPRK,no,0.8,0.513,-0.179,0.80980811768,
PLG,no,-0.039,0.939,-0.768,1.58027094375,
NCOA5,no,,0.007,0.11,-0.105342563047,
TNFAIP6,no,0.623,,,,
FASLG,yes,0.422,0.802,,1.33249299264,
ENG,no,-0.601,-0.617,-0.735,-1.2339078294,
CCL26,no,,0.237,,0.310635019101,
SERPINE1,yes,-0.907,0.259,-0.179,0.350424179133,
RNASE1,no,0.911,0.309,-0.607,0.440854088296,
CYBA,no,-0.577,-0.137,-0.614,-0.365780701436,
TGFB2,yes,0.343,0.872,-0.474,1.45909486547,
MYBPC3,no,0.39,0.078,,0.0230679079637,
KDR,yes,-0.457,-0.562,0.495,-1.13443492932,
CHRDL1,no,-0.668,-0.659,0.609,-1.3098689531,
COL4A2,yes,-0.918,-0.668,0.76,-1.32614633675,
CCL5,no,0.464,0.131,,0.118923611676,
SUMO1,no,0.831,-0.853,0.631,-1.66073700065,Down
NOX1,yes,0.953,,,,
ROBO2,no,,0.0,-0.897,-0.11800275033,
PDGFRB,no,-0.169,0.448,,0.692249235769,
RNH1,yes,-0.723,-0.092,0.404,-0.28439378319,
HMOX1,yes,-0.746,0.956,,1.61101711286,
EP300,no,0.52,-0.449,,-0.930063334612,
NOXA1,no,,-0.811,,-1.58477587695,
ERAP2,no,-0.678,-0.494,,-1.01145025286,
FLT1,no,0.938,0.928,0.382,1.56037636373,
EDIL3,no,-0.37,-0.525,0.009,-1.06751679654,
TGFBR2,no,0.733,0.055,-0.003,-0.0185298502512,
PACSIN2,no,0.98,0.835,-0.837,1.39217673269,
LRRC18,no,,-0.182,,-0.447167619683,
MYF5,no,-0.11,0.935,,1.57303655101,
PTPRS,no,-0.279,-0.952,,-1.83978822079,Down
MEIS1,no,0.846,0.735,-0.119,1.21131691436,
PML,yes,0.067,-0.267,-0.833,-0.60089846526,
EGF,yes,-0.583,,,,
SSX4,no,,,,,
OXSR1,no,0.603,-0.172,0.073,-0.42908163785,
CEACAM6,no,-0.834,0.617,0.191,0.997902328739,
MET,no,-0.027,0.0,,-0.11800275033,
LEO1,no,,0.027,,-0.0691705993823,
CREBBP,no,0.722,0.822,,1.36866495631,
FSCN2,no,0.163,0.401,,0.607245121155,
RWDD4A,no,,-0.295,,-0.651539214391,
CHID1,no,,0.717,,1.17876214706,
PTPRM,yes,0.394,0.179,0.952,0.205736324473,
PLDN,no,,-0.583,0.195,-1.17241549117,
NRP1,no,-0.688,0.157,,0.165947164441,
WARS,yes,0.053,0.782,0.32,1.29632102898,
CDH13,yes,-0.325,-0.683,0.964,-1.35327530949,
SUMO3,no,-0.8,-0.718,-0.19,-1.41657624591,
HHEX,yes,-0.107,-0.677,0.701,-1.34242372039,
SERPINF1,yes,-0.472,0.309,,0.440854088296,
ITGAV,no,0.429,0.0,0.738,-0.11800275033,
Protein,Seed,,,,,
SOX10,no,0.408,0.712,,1.16971915615,
MYOG,no,-0.679,0.964,,1.62548589833,
IL8,yes,-0.059,-0.511,,-1.04219642197,
THY1,no,0.695,0.804,,1.33611018901,
TGFB3,no,0.245,0.975,0.072,1.64538047834,
BMP3,no,0.081,-0.926,,-1.79276466803,Down
GATA2,no,-0.505,-0.077,-0.791,-0.257264810441,
ACVRL1,yes,-0.573,-0.344,0.157,-0.74016052537,
TGM2,no,0.712,,,,
SERPINE2,no,-0.585,-0.309,,-0.676859588956,
GALNT8,no,-0.659,-0.741,,-1.45817400412,
MSSE,no,,,,,
ATP6AP1,no,-0.254,0.719,,1.18237934343,
HR,no,-0.816,0.104,,0.0700914607284,
SIRPG,no,0.919,0.041,,-0.0438502248167,
AGPAT5,no,-0.491,-0.046,-0.165,-0.20119826676,
KRT1,yes,-0.71,0.217,,0.274463055436,
ANXA3,yes,0.002,-0.704,,-1.39125587134,
PGF,no,-0.873,0.25,,0.334146795484,
GHRHR,no,0.505,0.535,,0.849597277712,
SPHK1,yes,0.489,0.439,,0.675971852119,
LRP1B,no,-0.132,,,,
ATPIF1,yes,0.525,0.642,-0.511,1.04311728332,
ROBO1,yes,0.351,-0.775,,-1.51966634235,
POFUT1,no,0.946,-0.028,0.034,-0.168643499461,
MLNR,no,0.145,0.535,,0.849597277712,
TEK,no,-0.563,0.349,-0.692,0.513198015626,
FOXO4,yes,0.584,0.933,,1.56941935465,
F2,no,0.93,0.4,0.097,0.605436522972,
COL1A1,no,-0.125,0.488,-0.514,0.764593163099,
TPH1,no,0.321,0.309,,0.440854088296,
PCSK5,no,0.352,-0.502,,-1.02591903832,
NKX2-3,no,,0.0,,-0.11800275033,
WNT5A,yes,0.454,0.309,,0.440854088296,
OSM,no,0.586,0.63,,1.02141410512,
USH2A,no,0.347,0.926,,1.55675916736,
NF1,yes,0.704,-0.642,-0.145,-1.27912278398,
UCHL1,no,-0.308,0.223,,0.285314644536,
SCG2,yes,0.806,-0.676,,-1.34061512221,
AAMP,yes,0.201,-0.649,-0.619,-1.29178297126,
PPFIBP1,no,-0.612,-0.891,-0.785,-1.72946373161,Down
CDH16,no,0.942,0.0,,-0.11800275033,
NPR3,no,-0.481,0.961,,1.62006010378,
CPM,no,-0.411,0.113,-0.645,0.0863688443777,
LPA,no,-0.417,0.535,,0.849597277712,
CTNNB1,yes,0.174,0.782,0.69,1.29632102898,
HOXA5,yes,0.983,0.459,,0.712143815784,
MIF,no,,,,,
P2RY2,no,0.25,0.504,0.14,0.793530734031,
EGFR,no,0.316,-0.636,-0.214,-1.26827119488,
NFKB1,no,0.116,0.447,0.302,0.690440637585,
TNFRSF6B,no,,,,,
ARD1B,no,,,,,
BTG1,yes,-0.44,0.117,-0.229,0.0936032371107,
SPHKAP,no,,-0.672,,-1.33338072948,
NPPB,yes,0.502,0.4,,0.605436522972,
CEACAM8,no,-0.594,-0.617,,-1.2339078294,
ITGB3,yes,0.875,0.901,-0.398,1.51154421278,
THBS4,yes,-0.55,-0.928,,-1.79638186439,Down
HIF3A,no,0.529,0.617,,0.997902328739,
S100A7,yes,0.823,0.309,,0.440854088296,
VTN,no,0.434,-0.333,,-0.720265945355,
IL18,yes,-0.788,0.728,,1.19865672708,
C1GALT1,yes,-0.386,-0.73,0.357,-1.43827942411,
ROR2,no,0.202,0.445,0.12,0.686823441219,
ANGPTL3,yes,0.343,-0.309,,-0.676859588956,
CYFIP1,no,0.588,0.127,0.38,0.111689218943,
CCL4,no,0.365,-0.562,,-1.13443492932,
PF4,yes,0.199,0.125,,0.108072022577,
ANGPT4,yes,0.74,0.245,,0.325103804568,
HOXC9,no,,0.309,,0.440854088296,
HDAC5,yes,0.158,0.826,0.14,1.37589934904,
BMP2,no,0.117,0.008,0.055,-0.103533964864,
F12,no,-0.88,0.935,-0.142,1.57303655101,
ERBB2,yes,-0.49,0.926,-0.598,1.55675916736,
APOH,yes,-0.579,0.535,,0.849597277712,
SDC1,no,0.518,-0.778,,-1.5250921369,
ORM1,no,0.876,0.926,,1.55675916736,
IGFBP1,no,0.586,0.926,,1.55675916736,
STAB1,yes,-0.735,-0.06,,-0.226518641326,
BMP4,yes,-0.119,-0.527,-0.676,-1.07113399291,
CDX4,no,0.008,-0.321,,-0.698562767155,
ACE2,no,-0.966,0.267,,0.364892964599,
GRIN1,no,-0.44,0.535,,0.849597277712,
CALB2,no,-0.169,-0.091,,-0.282585185007,
