"regulator_symbol","regulator_id","target_symbol","target_id","database","evidence","confidence"
"E2F1","1869","hsa-miR-19a","MIMAT0000073","transmir","Experimental","High"
"ESR1","2099","hsa-miR-19a","MIMAT0000073","transmir","Experimental","High"
"MYC","4609","hsa-miR-19a","MIMAT0000073","transmir","Experimental","High"
"MYCN","4613","hsa-miR-19a","MIMAT0000073","transmir","Experimental","High"
"NKX2-5","1482","hsa-miR-19a","MIMAT0000073","transmir","Experimental","High"
"PTEN","5728","hsa-miR-19a","MIMAT0000073","transmir","Experimental","High"
"SPI1","6688","hsa-miR-19a","MIMAT0000073","transmir","Experimental","High"
"STAT5B","6777","hsa-miR-19a","MIMAT0000073","transmir","Experimental","High"
"TLX1","3195","hsa-miR-19a","MIMAT0000073","transmir","Experimental","High"
"TLX3","30012","hsa-miR-19a","MIMAT0000073","transmir","Experimental","High"
