,gene_id,sample_1,sample_2,status,value_1,value_2,log2_fold_change,test_stat,p_value,q_value,significant
13300,MEG3,control,SRR926257,OK,51.568,0.018232,-11.46578755,-3.24822,0.00015,0.00908003,yes
12837,LUM,control,SRR926257,OK,370.186,1,-8.532106525,NA,5.00E-05,0.00349593,yes
18215,PLA2G2A,control,SRR926257,OK,348.012,1,-8.442993243,NA,5.00E-05,0.00349593,yes
22102,SNORD55,control,SRR926257,OK,260.387,1,-8.024513613,NA,1.00E-04,0.00655964,yes
22071,SNORD36B,control,SRR926257,OK,204.905,1,-7.678811379,NA,0.00015,0.00908003,yes
8242,HLA-DRA,control,SRR926257,OK,203.995,1,-7.672389981,NA,5.00E-05,0.00349593,yes
15213,MIR7111,control,SRR926257,OK,193.572,1,-7.596726473,NA,5.00E-05,0.00349593,yes
25862,ZNF302,control,SRR926257,OK,21.3437,0.13929,-7.259574797,-4.58171,0.0012,0.0465523,yes
19913,RNASE1,control,SRR926257,OK,146.464,1,-7.194402292,NA,5.00E-05,0.00349593,yes
13027,MAOB,control,SRR926257,OK,123.893,1,-6.952950867,NA,5.00E-05,0.00349593,yes
22064,SNORD32A,control,SRR926257,OK,118.338,1,-6.886769608,NA,0.00025,0.013919,yes
1989,C11orf96,control,SRR926257,OK,113.643,1,-6.828365012,NA,5.00E-05,0.00349593,yes
3168,CDH11,control,SRR926257,OK,110.621,1,-6.789481479,NA,5.00E-05,0.00349593,yes
4825,DES,control,SRR926257,OK,110.168,1,-6.783561421,NA,5.00E-05,0.00349593,yes
22074,SNORD38A,control,SRR926257,OK,102.453,1,-6.678818419,NA,5.00E-05,0.00349593,yes
6730,FMOD,control,SRR926257,OK,99.1276,1,-6.631214896,NA,5.00E-05,0.00349593,yes
7105,GATA4,control,SRR926257,OK,97.3784,1,-6.605529891,NA,5.00E-05,0.00349593,yes
8725,IGFBP2,control,SRR926257,OK,94.9137,1,-6.568544438,NA,5.00E-05,0.00349593,yes
22094,SNORD4B,control,SRR926257,OK,86.7958,1,-6.439553328,NA,1.00E-04,0.00655964,yes
8924,INSIG1,control,SRR926257,OK,82.1857,1,-6.360815487,NA,5.00E-05,0.00349593,yes
21695,SMOC2,control,SRR926257,OK,79.7946,1,-6.318219212,NA,5.00E-05,0.00349593,yes
18424,PODN,control,SRR926257,OK,78.6051,1,-6.296551014,NA,5.00E-05,0.00349593,yes
4984,DLK1,control,SRR926257,OK,76.2164,1,-6.25202956,NA,5.00E-05,0.00349593,yes
17833,PDGFRA,control,SRR926257,OK,74.2117,1,-6.213574751,NA,5.00E-05,0.00349593,yes
22040,SNORD15B,control,SRR926257,OK,71.9745,1,-6.169413956,NA,3.00E-04,0.0161543,yes
24632,TYROBP,control,SRR926257,OK,69.3858,1,-6.116568536,NA,5.00E-05,0.00349593,yes
3817,CNN1,control,SRR926257,OK,67.8936,1,-6.08520368,NA,5.00E-05,0.00349593,yes
16169,NDN,control,SRR926257,OK,66.0044,1,-6.044490296,NA,5.00E-05,0.00349593,yes
