,miRTarBase ID,miRNA,Target Gene,Target Gene (Entrez Gene ID)
3,MIRT000006,hsa-miR-146a-5p,CXCR4,7852
4,MIRT000006,hsa-miR-146a-5p,CXCR4,7852
5,MIRT000006,hsa-miR-146a-5p,CXCR4,7852
61,MIRT000059,hsa-miR-372-3p,MBNL2,10150
64,MIRT000066,hsa-miR-34b-5p,CREB1,1385
65,MIRT000066,hsa-miR-34b-5p,CREB1,1385
84,MIRT000093,hsa-miR-302d-3p,MBNL2,10150
117,MIRT000111,hsa-miR-26a-5p,CCNE2,9134
118,MIRT000111,hsa-miR-26a-5p,CCNE2,9134
210,MIRT000152,hsa-miR-210-3p,HOXA1,3198
214,MIRT000156,hsa-miR-210-3p,RAD52,5893
215,MIRT000156,hsa-miR-210-3p,RAD52,5893
283,MIRT000185,hsa-miR-206,MET,4233
284,MIRT000185,hsa-miR-206,MET,4233
285,MIRT000185,hsa-miR-206,MET,4233
286,MIRT000185,hsa-miR-206,MET,4233
288,MIRT000190,hsa-miR-204-5p,HOXA10,3206
332,MIRT000234,hsa-miR-181c-5p,GATA6,2627
335,MIRT000239,hsa-miR-181b-5p,GATA6,2627
336,MIRT000239,hsa-miR-181b-5p,GATA6,2627
339,MIRT000244,hsa-miR-181a-5p,GATA6,2627
340,MIRT000244,hsa-miR-181a-5p,GATA6,2627
361,MIRT000263,hsa-miR-17-5p,YES1,7525
362,MIRT000263,hsa-miR-17-5p,YES1,7525
366,MIRT000268,hsa-miR-16-5p,CDK1,983
367,MIRT000268,hsa-miR-16-5p,CDK1,983
368,MIRT000268,hsa-miR-16-5p,CDK1,983
372,MIRT000276,hsa-miR-15b-5p,CCNE1,898
373,MIRT000276,hsa-miR-15b-5p,CCNE1,898
374,MIRT000276,hsa-miR-15b-5p,CCNE1,898
375,MIRT000276,hsa-miR-15b-5p,CCNE1,898
376,MIRT000276,hsa-miR-15b-5p,CCNE1,898
377,MIRT000276,hsa-miR-15b-5p,CCNE1,898
439,MIRT000317,hsa-miR-141-3p,ZEB1,6935
440,MIRT000317,hsa-miR-141-3p,ZEB1,6935
441,MIRT000317,hsa-miR-141-3p,ZEB1,6935
442,MIRT000317,hsa-miR-141-3p,ZEB1,6935
443,MIRT000317,hsa-miR-141-3p,ZEB1,6935
444,MIRT000317,hsa-miR-141-3p,ZEB1,6935
463,MIRT000346,hsa-miR-125b-5p,BMPR1B,658
464,MIRT000346,hsa-miR-125b-5p,BMPR1B,658
479,MIRT000372,hsa-miR-106b-5p,ITCH,83737
480,MIRT000372,hsa-miR-106b-5p,ITCH,83737
481,MIRT000372,hsa-miR-106b-5p,ITCH,83737
482,MIRT000372,hsa-miR-106b-5p,ITCH,83737
483,MIRT000372,hsa-miR-106b-5p,ITCH,83737
492,MIRT000379,hsa-miR-101-3p,ATXN1,6310
493,MIRT000379,hsa-miR-101-3p,ATXN1,6310
549,MIRT000445,hsa-miR-29b-3p,SP1,6667
550,MIRT000445,hsa-miR-29b-3p,SP1,6667
551,MIRT000445,hsa-miR-29b-3p,SP1,6667
552,MIRT000445,hsa-miR-29b-3p,SP1,6667
553,MIRT000445,hsa-miR-29b-3p,SP1,6667
572,MIRT000457,hsa-miR-145-5p,MYO6,4646
573,MIRT000458,hsa-miR-143-3p,MYO6,4646
