,miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez Gene ID),Species (Target Gene),Experiments,Support Type,References (PMID)
0,MIRT000002,hsa-miR-20a-5p,Homo sapiens,HIF1A,3091,Homo sapiens,Luciferase reporter assay//Western blot//Northern blot//qRT-PCR,Functional MTI,18632605
1,MIRT000002,hsa-miR-20a-5p,Homo sapiens,HIF1A,3091,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
2,MIRT000002,hsa-miR-20a-5p,Homo sapiens,HIF1A,3091,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23911400
3,MIRT000006,hsa-miR-146a-5p,Homo sapiens,CXCR4,7852,Homo sapiens,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,18568019
4,MIRT000006,hsa-miR-146a-5p,Homo sapiens,CXCR4,7852,Homo sapiens,Microarray,Functional MTI (Weak),20375304
5,MIRT000006,hsa-miR-146a-5p,Homo sapiens,CXCR4,7852,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26082201
78,MIRT000082,hsa-miR-326,Homo sapiens,GLI1,2735,Homo sapiens,Luciferase reporter assay,Functional MTI,18756266
104,MIRT000107,hsa-miR-27a-3p,Homo sapiens,RUNX1,861,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
105,MIRT000109,hsa-miR-26a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay,Functional MTI,17563749
106,MIRT000109,hsa-miR-26a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,22139073
107,MIRT000109,hsa-miR-26a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,24853416
108,MIRT000109,hsa-miR-26a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay,Functional MTI,24682444
109,MIRT000109,hsa-miR-26a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26492332
131,MIRT000128,hsa-miR-223-3p,Homo sapiens,MEF2C,4208,Homo sapiens,Luciferase reporter assay,Functional MTI,18278031
132,MIRT000128,hsa-miR-223-3p,Homo sapiens,MEF2C,4208,Homo sapiens,Immunofluorescence//qRT-PCR//Western blot,Non-Functional MTI,23094093
208,MIRT000150,hsa-miR-210-3p,Homo sapiens,TP53I11,9537,Homo sapiens,Luciferase reporter assay,Functional MTI,19782034
421,MIRT000308,hsa-miR-145-5p,Homo sapiens,KLF4,9314,Homo sapiens,FACS//Flow//GFP reporter assay//In situ hybridization//Luciferase reporter assay//qRT-PCR//Reporter assay;Western blot;qRT-PCR,Functional MTI,19409607
422,MIRT000308,hsa-miR-145-5p,Homo sapiens,KLF4,9314,Homo sapiens,qRT-PCR//Western blot,Functional MTI,25273883
423,MIRT000308,hsa-miR-145-5p,Homo sapiens,KLF4,9314,Homo sapiens,qRT-PCR,Functional MTI (Weak),23312222
424,MIRT000308,hsa-miR-145-5p,Homo sapiens,KLF4,9314,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,28380435
425,MIRT000308,hsa-miR-145-5p,Homo sapiens,KLF4,9314,Homo sapiens,Northern blot//qRT-PCR//Western blot,Functional MTI,26197891
426,MIRT000308,hsa-miR-145-5p,Homo sapiens,KLF4,9314,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26181633
468,MIRT000348,hsa-miR-125b-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay,Functional MTI,17563749
470,MIRT000350,hsa-miR-125b-5p,Homo sapiens,GLI1,2735,Homo sapiens,Luciferase reporter assay,Functional MTI,18756266
484,MIRT000373,hsa-miR-106b-5p,Homo sapiens,APP,351,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,19110058
488,MIRT000378,hsa-miR-101-3p,Homo sapiens,MYCN,4613,Homo sapiens,Luciferase reporter assay//Reporter assay,Functional MTI,14697198
489,MIRT000378,hsa-miR-101-3p,Homo sapiens,MYCN,4613,Homo sapiens,Western blot,Non-Functional MTI,19008416
490,MIRT000378,hsa-miR-101-3p,Homo sapiens,MYCN,4613,Homo sapiens,Reporter assay,Functional MTI,21654684
491,MIRT000378,hsa-miR-101-3p,Homo sapiens,MYCN,4613,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
540,MIRT000430,hsa-miR-101-3p,Homo sapiens,APP,351,Homo sapiens,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20395292
541,MIRT000430,hsa-miR-101-3p,Homo sapiens,APP,351,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,21172309
542,MIRT000430,hsa-miR-101-3p,Homo sapiens,APP,351,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
584,MIRT000473,hsa-miR-1296-5p,Homo sapiens,MCM2,4171,Homo sapiens,qRT-PCR//Western blot,Functional MTI,20332239
608,MIRT000496,hsa-miR-519c-3p,Homo sapiens,HIF1A,3091,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20233879
611,MIRT000498,hsa-miR-20b-5p,Homo sapiens,HIF1A,3091,Homo sapiens,qRT-PCR//ELISA//ChIP//Western blot,Functional MTI,20232316
612,MIRT000498,hsa-miR-20b-5p,Homo sapiens,HIF1A,3091,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
613,MIRT000498,hsa-miR-20b-5p,Homo sapiens,HIF1A,3091,Homo sapiens,qRT-PCR,Functional MTI (Weak),26793992
614,MIRT000498,hsa-miR-20b-5p,Homo sapiens,HIF1A,3091,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26612965
639,MIRT000530,hsa-miR-324-5p,Homo sapiens,GLI1,2735,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,20216554
640,MIRT000530,hsa-miR-324-5p,Homo sapiens,GLI1,2735,Homo sapiens,Luciferase reporter assay,Functional MTI,18756266
747,MIRT000635,hsa-miR-224-5p,Homo sapiens,CXCR4,7852,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20023705
959,MIRT000748,hsa-miR-34a-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Microarray,Functional MTI (Weak),19461653
1015,MIRT000783,hsa-miR-199a-3p,Homo sapiens,JUNB,3726,Homo sapiens,Microarray//Northern blot,Functional MTI (Weak),16331254
1060,MIRT000826,hsa-miR-16-5p,Homo sapiens,CDC14B,8555,Homo sapiens,Microarray,Functional MTI (Weak),18362358
1061,MIRT000827,hsa-miR-15a-5p,Homo sapiens,CDC14B,8555,Homo sapiens,Microarray,Functional MTI (Weak),18362358
1186,MIRT000966,hsa-miR-126-3p,Homo sapiens,RGS3,5998,Homo sapiens,Luciferase reporter assay,Non-Functional MTI,18834857
1187,MIRT000966,hsa-miR-126-3p,Homo sapiens,RGS3,5998,Homo sapiens,Reporter assay,Non-Functional MTI,21249429
1188,MIRT000966,hsa-miR-126-3p,Homo sapiens,RGS3,5998,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27754994
1209,MIRT000974,hsa-miR-155-5p,Homo sapiens,HIVEP2,3097,Homo sapiens,Luciferase reporter assay,Functional MTI,18367535
1210,MIRT000974,hsa-miR-155-5p,Homo sapiens,HIVEP2,3097,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20427544
1211,MIRT000974,hsa-miR-155-5p,Homo sapiens,HIVEP2,3097,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
1224,MIRT000980,hsa-miR-34a-5p,Homo sapiens,MYCN,4613,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,18504438
1225,MIRT000980,hsa-miR-34a-5p,Homo sapiens,MYCN,4613,Homo sapiens,qRT-PCR//Western blot//Luciferase reporter assay,Functional MTI,18505919
1226,MIRT000980,hsa-miR-34a-5p,Homo sapiens,MYCN,4613,Homo sapiens,Luciferase reporter assay,Functional MTI,19461653
1227,MIRT000980,hsa-miR-34a-5p,Homo sapiens,MYCN,4613,Homo sapiens,Luciferase reporter assay,Non-Functional MTI,17297439
1228,MIRT000980,hsa-miR-34a-5p,Homo sapiens,MYCN,4613,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,22020437
1229,MIRT000980,hsa-miR-34a-5p,Homo sapiens,MYCN,4613,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,22662276
1230,MIRT000980,hsa-miR-34a-5p,Homo sapiens,MYCN,4613,Homo sapiens,Western blot,Functional MTI,25348795
1231,MIRT000980,hsa-miR-34a-5p,Homo sapiens,MYCN,4613,Homo sapiens,Luciferase reporter assay,Functional MTI,27764804
1232,MIRT000980,hsa-miR-34a-5p,Homo sapiens,MYCN,4613,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27836543
1325,MIRT001070,hsa-miR-128-3p,Homo sapiens,DCX,1641,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,19713529
1327,MIRT001074,hsa-miR-370-3p,Homo sapiens,MAP3K8,1326,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,17621267
1380,MIRT001141,hsa-miR-130a-3p,Homo sapiens,MAFB,9935,Homo sapiens,Luciferase reporter assay//Reporter assay,Functional MTI,16549775
1473,MIRT001202,hsa-miR-9-5p,Homo sapiens,RAB34,83871,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,19531230
1474,MIRT001202,hsa-miR-9-5p,Homo sapiens,RAB34,83871,Homo sapiens,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,23627607
1608,MIRT001351,hsa-miR-1-3p,Homo sapiens,PDLIM7,9260,Homo sapiens,pSILAC//Proteomics,Functional MTI (Weak),18668040
1609,MIRT001351,hsa-miR-1-3p,Homo sapiens,PDLIM7,9260,Homo sapiens,Proteomics;Microarray,Functional MTI (Weak),18668037
1630,MIRT001362,hsa-miR-1-3p,Homo sapiens,ITGB4,3691,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
1647,MIRT001377,hsa-miR-1-3p,Homo sapiens,CDCP1,64866,Homo sapiens,pSILAC//Proteomics,Functional MTI (Weak),18668040
1648,MIRT001377,hsa-miR-1-3p,Homo sapiens,CDCP1,64866,Homo sapiens,Microarray,Functional MTI (Weak),18668037
1715,MIRT001410,hsa-miR-16-5p,Homo sapiens,SQSTM1,8878,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
1724,MIRT001417,hsa-miR-16-5p,Homo sapiens,SLC12A2,6558,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
1749,MIRT001426,hsa-miR-16-5p,Homo sapiens,PTGS2,5743,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
1750,MIRT001426,hsa-miR-16-5p,Homo sapiens,PTGS2,5743,Homo sapiens,Luciferase reporter assay,Functional MTI,23226427
1783,MIRT001440,hsa-miR-16-5p,Homo sapiens,MRPL20,55052,Homo sapiens,pSILAC,Functional MTI (Weak),18668040
1881,MIRT001501,hsa-miR-155-5p,Homo sapiens,SLC30A1,7779,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
1882,MIRT001501,hsa-miR-155-5p,Homo sapiens,SLC30A1,7779,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
1883,MIRT001501,hsa-miR-155-5p,Homo sapiens,SLC30A1,7779,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
1900,MIRT001511,hsa-miR-155-5p,Homo sapiens,RAB34,83871,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
1903,MIRT001514,hsa-miR-155-5p,Homo sapiens,PTPRJ,5795,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
1907,MIRT001519,hsa-miR-155-5p,Homo sapiens,PPL,5493,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
1908,MIRT001519,hsa-miR-155-5p,Homo sapiens,PPL,5493,Homo sapiens,Microarray//qRT-PCR,Functional MTI (Weak),22815788
1912,MIRT001522,hsa-miR-155-5p,Homo sapiens,PODXL,5420,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
1927,MIRT001529,hsa-miR-155-5p,Homo sapiens,NT5E,4907,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
1941,MIRT001541,hsa-miR-155-5p,Homo sapiens,LY6K,54742,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
1950,MIRT001550,hsa-miR-155-5p,Homo sapiens,DSG2,1829,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
2027,MIRT001603,hsa-let-7b-5p,Homo sapiens,PTGS2,5743,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
2156,MIRT001764,hsa-miR-30a-3p,Homo sapiens,CYR61,3491,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot//Western blot;qRT-PCR,Functional MTI,16239240
2341,MIRT001934,hsa-miR-520c-3p,Homo sapiens,APP,351,Homo sapiens,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,18684319
2342,MIRT001935,hsa-miR-106a-5p,Homo sapiens,APP,351,Homo sapiens,Luciferase reporter assay,Non-Functional MTI,19110058
2343,MIRT001935,hsa-miR-106a-5p,Homo sapiens,APP,351,Homo sapiens,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,18684319
2366,MIRT001971,hsa-miR-221-3p,Homo sapiens,HOXB5,3215,Homo sapiens,Gluc assay,Functional MTI,18794255
2373,MIRT001983,hsa-miR-1-3p,Homo sapiens,KCNJ2,3759,Homo sapiens,Luciferase reporter assay//Reporter assay;Other,Functional MTI,17401374
2374,MIRT001983,hsa-miR-1-3p,Homo sapiens,KCNJ2,3759,Homo sapiens,Luciferase reporter assay,Functional MTI,19775284
2375,MIRT001983,hsa-miR-1-3p,Homo sapiens,KCNJ2,3759,Homo sapiens,qRT-PCR,Functional MTI (Weak),21169019
2376,MIRT001983,hsa-miR-1-3p,Homo sapiens,KCNJ2,3759,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
2377,MIRT001983,hsa-miR-1-3p,Homo sapiens,KCNJ2,3759,Homo sapiens,Western blot,Functional MTI,28112313
2394,MIRT002005,hsa-let-7d-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay,Functional MTI,17600087
2395,MIRT002005,hsa-let-7d-5p,Homo sapiens,HMGA2,8091,Homo sapiens,qRT-PCR//ChIP//Luciferase reporter assay,Functional MTI,20395557
2396,MIRT002005,hsa-let-7d-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Western blot,Functional MTI,17957144
2397,MIRT002005,hsa-let-7d-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay,Functional MTI,23318420
2398,MIRT002005,hsa-let-7d-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
2399,MIRT002005,hsa-let-7d-5p,Homo sapiens,HMGA2,8091,Homo sapiens,HITS-CLIP,Functional MTI (Weak),21572407
2400,MIRT002005,hsa-let-7d-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
2441,MIRT002081,hsa-let-7e-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay//qRT-PCR,Functional MTI,17437991
2442,MIRT002081,hsa-let-7e-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
2443,MIRT002081,hsa-let-7e-5p,Homo sapiens,HMGA2,8091,Homo sapiens,HITS-CLIP,Functional MTI (Weak),21572407
2444,MIRT002081,hsa-let-7e-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
2445,MIRT002082,hsa-let-7b-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay//qRT-PCR,Functional MTI,17437991
2446,MIRT002082,hsa-let-7b-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//QRTPCR//Western blot,Functional MTI,23482325
2447,MIRT002082,hsa-let-7b-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay,Functional MTI,23318420
2448,MIRT002082,hsa-let-7b-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
2449,MIRT002082,hsa-let-7b-5p,Homo sapiens,HMGA2,8091,Homo sapiens,HITS-CLIP,Functional MTI (Weak),21572407
2450,MIRT002082,hsa-let-7b-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Microarray//qRT-PCR,Functional MTI (Weak),25600877
2451,MIRT002082,hsa-let-7b-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
2454,MIRT002097,hsa-let-7g-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Western blot//Reporter assay,Functional MTI,18413726
2455,MIRT002097,hsa-let-7g-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17600087
2456,MIRT002097,hsa-let-7g-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay,Functional MTI,18308936
2457,MIRT002097,hsa-let-7g-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay,Functional MTI,23318420
2458,MIRT002097,hsa-let-7g-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
2459,MIRT002097,hsa-let-7g-5p,Homo sapiens,HMGA2,8091,Homo sapiens,HITS-CLIP,Functional MTI (Weak),21572407
2460,MIRT002097,hsa-let-7g-5p,Homo sapiens,HMGA2,8091,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
2565,MIRT002316,hsa-miR-29b-3p,Homo sapiens,DNAJB11,51726,Homo sapiens,Immunoprecipitaion//Luciferase reporter assay//Western blot,Functional MTI,17637574
2566,MIRT002322,hsa-let-7c-5p,Homo sapiens,HMGA2,8091,Homo sapiens,qRT-PCR//Western blot//Luciferase reporter assay,Functional MTI,17600087
2567,MIRT002322,hsa-let-7c-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Microarray//Northern blot//qRT-PCR//Western blot,Functional MTI,17243163
2568,MIRT002322,hsa-let-7c-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18403645
