,gene_id,sample_1,sample_2,status,value_1,value_2,log2_fold_change,test_stat,p_value,q_value,significant
8379,HOXB13,control,SRR926260,OK,1,33.7613,5.077298552,NA,5.00E-05,0.0456447,yes
24793,UGT1A6,control,SRR926260,OK,1,36.4012,5.185914106,NA,5.00E-05,0.0456447,yes
22110,SNORD59B,control,SRR926260,OK,1,59.4604,5.893857263,NA,5.00E-05,0.0456447,yes
22066,SNORD33,control,SRR926260,OK,1,65.0994,6.024572341,NA,5.00E-05,0.0456447,yes
22067,SNORD34,control,SRR926260,OK,1,132.081,7.045279138,NA,5.00E-05,0.0456447,yes
22045,SNORD18C,control,SRR926260,OK,1,182.209,7.509450411,NA,5.00E-05,0.0456447,yes
12837,LUM,control,SRR926260,OK,187.413,1,-7.55007722,NA,5.00E-05,0.0456447,yes
22070,SNORD36A,control,SRR926260,OK,146.999,1,-7.199662531,NA,5.00E-05,0.0456447,yes
22071,SNORD36B,control,SRR926260,OK,103.737,1,-6.696786743,NA,5.00E-05,0.0456447,yes
19913,RNASE1,control,SRR926260,OK,74.1501,1,-6.212376733,NA,5.00E-05,0.0456447,yes
22108,SNORD58C,control,SRR926260,OK,65.1951,1,-6.026691632,NA,5.00E-05,0.0456447,yes
7905,H3F3C,control,SRR926260,OK,47.3466,1,-5.565188923,NA,5.00E-05,0.0456447,yes
16903,OLFML3,control,SRR926260,OK,41.1074,1,-5.361326221,NA,5.00E-05,0.0456447,yes
9095,ITM2A,control,SRR926260,OK,28.16,1,-4.815575429,NA,5.00E-05,0.0456447,yes
22536,SRGN,control,SRR926260,OK,22.7878,1,-4.510189744,NA,5.00E-05,0.0456447,yes
18973,PRRX1,control,SRR926260,OK,18.3481,1,-4.19755877,NA,5.00E-05,0.0456447,yes
15844,MUM1L1,control,SRR926260,OK,16.5659,1,-4.05014468,NA,5.00E-05,0.0456447,yes
15198,MIR6892,control,SRR926260,OK,10.1041,1,-3.336868918,NA,5.00E-05,0.0456447,yes
