No.,miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez Gene ID),Species (Target Gene),Experiments,Support Type,References (PMID)
245537,MIRT527611,hsa-miR-591,Homo sapiens,AASS,10157,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
245536,MIRT527610,hsa-miR-653-5p,Homo sapiens,AASS,10157,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
437300,MIRT724395,hsa-miR-143-3p,Homo sapiens,ABAT,18,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
437297,MIRT724392,hsa-miR-3188,Homo sapiens,ABAT,18,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
9591,MIRT017324,hsa-miR-335-5p,Homo sapiens,ABAT,18,Homo sapiens,Microarray,Functional MTI (Weak),18185580
437291,MIRT724386,hsa-miR-4520-2-3p,Homo sapiens,ABAT,18,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
437292,MIRT724387,hsa-miR-4520-3p,Homo sapiens,ABAT,18,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
437290,MIRT724385,hsa-miR-4529-3p,Homo sapiens,ABAT,18,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
437293,MIRT724388,hsa-miR-4709-3p,Homo sapiens,ABAT,18,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
437299,MIRT724394,hsa-miR-4770,Homo sapiens,ABAT,18,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
437296,MIRT724391,hsa-miR-516a-3p,Homo sapiens,ABAT,18,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
437295,MIRT724390,hsa-miR-516b-3p,Homo sapiens,ABAT,18,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
437298,MIRT724393,hsa-miR-6088,Homo sapiens,ABAT,18,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
437294,MIRT724389,hsa-miR-7162-5p,Homo sapiens,ABAT,18,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
437289,MIRT724384,hsa-miR-7850-5p,Homo sapiens,ABAT,18,Homo sapiens,HITS-CLIP,Functional MTI (Weak),19536157
15222,MIRT022500,hsa-miR-124-3p,Homo sapiens,ABCC3,8714,Homo sapiens,Microarray,Functional MTI (Weak),18668037
4377,MIRT004155,hsa-miR-192-5p,Homo sapiens,ABCC3,8714,Homo sapiens,Microarray,Functional MTI (Weak),16822819
4018,MIRT003824,hsa-miR-197-3p,Homo sapiens,ABCC3,8714,Homo sapiens,Microarray,Functional MTI (Weak),16822819
9739,MIRT017472,hsa-miR-335-5p,Homo sapiens,ABCC3,8714,Homo sapiens,Microarray,Functional MTI (Weak),18185580
52041,MIRT073380,hsa-miR-106b-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
369196,MIRT660996,hsa-miR-1224-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
274159,MIRT549501,hsa-miR-1244,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
274163,MIRT549505,hsa-miR-1252-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
159596,MIRT482571,hsa-miR-1252-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
369184,MIRT660984,hsa-miR-1260a,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
369183,MIRT660983,hsa-miR-1260b,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
100881,MIRT446437,hsa-miR-1264,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100882,MIRT446437,hsa-miR-1264,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
95037,MIRT441306,hsa-miR-127-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),24374217
159608,MIRT482583,hsa-miR-1294,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
378923,MIRT669698,hsa-miR-1307-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
369182,MIRT660982,hsa-miR-1343-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
378925,MIRT669700,hsa-miR-150-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
159606,MIRT482581,hsa-miR-15a-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
