,miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez Gene ID),Species (Target Gene),Experiments,Support Type,References (PMID)
2064,MIRT001842,hsa-miR-103a-3p,Homo sapiens,GPD1,2819.0,Homo sapiens,Luciferase reporter assay,Non-Functional MTI,15131085
4662,MIRT004762,hsa-miR-103a-3p,Homo sapiens,CCNE1,898.0,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20886090
4663,MIRT004764,hsa-miR-103a-3p,Homo sapiens,CDK2,1017.0,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20886090
4664,MIRT004766,hsa-miR-103a-3p,Homo sapiens,CREB1,1385.0,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,20886090
5242,MIRT005347,hsa-miR-103a-3p,Homo sapiens,DICER1,23405.0,Homo sapiens,Luciferase reporter assay//qRT-PCR,Functional MTI,20603000
5243,MIRT005347,hsa-miR-103a-3p,Homo sapiens,DICER1,23405.0,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,24828205
5244,MIRT005347,hsa-miR-103a-3p,Homo sapiens,DICER1,23405.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
5245,MIRT005347,hsa-miR-103a-3p,Homo sapiens,DICER1,23405.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
6373,MIRT006428,hsa-miR-103a-3p,Homo sapiens,CAV1,857.0,Homo sapiens,Luciferase reporter assay//Microarray,Functional MTI,21654750
6374,MIRT006428,hsa-miR-103a-3p,Homo sapiens,CAV1,857.0,Homo sapiens,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,25407491
6630,MIRT006688,hsa-miR-103a-3p,Homo sapiens,KLF4,9314.0,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,22593189
6632,MIRT006690,hsa-miR-103a-3p,Homo sapiens,DAPK1,1612.0,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,22593189
