,miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez Gene ID),Species (Target Gene),Experiments,Support Type,References (PMID)
403,MIRT000343,hsa-miR-126-3p,Homo sapiens,SPRED1,161742.0,Homo sapiens,Luciferase reporter assay,Functional MTI,18694566
404,MIRT000343,hsa-miR-126-3p,Homo sapiens,SPRED1,161742.0,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,18987025
405,MIRT000343,hsa-miR-126-3p,Homo sapiens,SPRED1,161742.0,Homo sapiens,Flow//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,22525256
406,MIRT000343,hsa-miR-126-3p,Homo sapiens,SPRED1,161742.0,Homo sapiens,qRT-PCR//Western blot,Functional MTI,23811937
407,MIRT000343,hsa-miR-126-3p,Homo sapiens,SPRED1,161742.0,Homo sapiens,Luciferase reporter assay,Non-Functional MTI,18832181
408,MIRT000344,hsa-miR-126-3p,Homo sapiens,PLK2,10769.0,Homo sapiens,Luciferase reporter assay//qRT-PCR,Functional MTI,18832181
409,MIRT000344,hsa-miR-126-3p,Homo sapiens,PLK2,10769.0,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,24969300
894,MIRT000798,hsa-miR-126-3p,Homo sapiens,SLC45A3,85414.0,Homo sapiens,Western blot//Luciferase reporter assay//Reporter assay;Other,Non-Functional MTI,18193184
1052,MIRT000965,hsa-miR-126-3p,Homo sapiens,CCNE2,9134.0,Homo sapiens,Luciferase reporter assay,Non-Functional MTI,18834857
1053,MIRT000966,hsa-miR-126-3p,Homo sapiens,RGS3,5998.0,Homo sapiens,Luciferase reporter assay,Non-Functional MTI,18834857
1054,MIRT000966,hsa-miR-126-3p,Homo sapiens,RGS3,5998.0,Homo sapiens,Reporter assay,Non-Functional MTI,21249429
1055,MIRT000967,hsa-miR-126-3p,Homo sapiens,TOM1,10043.0,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay;Western blot,Functional MTI,20083669
1056,MIRT000967,hsa-miR-126-3p,Homo sapiens,TOM1,10043.0,Homo sapiens,Microarray//qRT-PCR,Functional MTI (Weak),22815788
1057,MIRT000967,hsa-miR-126-3p,Homo sapiens,TOM1,10043.0,Homo sapiens,Luciferase reporter assay,Non-Functional MTI,18834857
2038,MIRT001820,hsa-miR-126-5p,Homo sapiens,SLC45A3,85414.0,Homo sapiens,Western blot//Luciferase reporter assay//Reporter assay;Other,Functional MTI,18193184
2084,MIRT001918,hsa-miR-126-3p,Homo sapiens,HOXA9,3205.0,Homo sapiens,GFP reporter assay//qRT-PCR//Western blot//Luciferase reporter assay,Functional MTI,18474618
2994,MIRT002993,hsa-miR-126-3p,Homo sapiens,CRK,1398.0,Homo sapiens,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,18602365
2995,MIRT002993,hsa-miR-126-3p,Homo sapiens,CRK,1398.0,Homo sapiens,Western blot,Functional MTI,19767772
2996,MIRT002993,hsa-miR-126-3p,Homo sapiens,CRK,1398.0,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//Western blot,Functional MTI,20619534
2997,MIRT002993,hsa-miR-126-3p,Homo sapiens,CRK,1398.0,Homo sapiens,qRT-PCR//Western blot,Functional MTI,24969300
2998,MIRT002993,hsa-miR-126-3p,Homo sapiens,CRK,1398.0,Homo sapiens,qRT-PCR//Western blot,Functional MTI,25027343
2999,MIRT002993,hsa-miR-126-3p,Homo sapiens,CRK,1398.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
3428,MIRT003428,hsa-miR-126-3p,Homo sapiens,VEGFA,7422.0,Homo sapiens,Luciferase reporter assay//Reporter assay,Functional MTI,19223090
3429,MIRT003428,hsa-miR-126-3p,Homo sapiens,VEGFA,7422.0,Homo sapiens,Luciferase reporter assay//Western blot//Reporter assay;Western blot,Functional MTI,21249429
3430,MIRT003428,hsa-miR-126-3p,Homo sapiens,VEGFA,7422.0,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,22510476
3431,MIRT003428,hsa-miR-126-3p,Homo sapiens,VEGFA,7422.0,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23900443
3432,MIRT003428,hsa-miR-126-3p,Homo sapiens,VEGFA,7422.0,Homo sapiens,Luciferase reporter assay,Functional MTI,24140635
3433,MIRT003428,hsa-miR-126-3p,Homo sapiens,VEGFA,7422.0,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25428912
3434,MIRT003428,hsa-miR-126-3p,Homo sapiens,VEGFA,7422.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
3748,MIRT003894,hsa-miR-126-3p,Homo sapiens,PIK3R2,5296.0,Homo sapiens,Western blot//qRT-PCR//Luciferase reporter assay,Functional MTI,18663744
3749,MIRT003894,hsa-miR-126-3p,Homo sapiens,PIK3R2,5296.0,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,18987025
3750,MIRT003894,hsa-miR-126-3p,Homo sapiens,PIK3R2,5296.0,Homo sapiens,Luciferase reporter assay//Western blot//Reporter assay;Western blot,Functional MTI,21249429
3751,MIRT003894,hsa-miR-126-3p,Homo sapiens,PIK3R2,5296.0,Homo sapiens,qRT-PCR//Western blot,Functional MTI,24969300
3923,MIRT004081,hsa-miR-126-3p,Homo sapiens,VCAM1,7412.0,Homo sapiens,Luciferase reporter assay//Western blot//Reporter assay;Other,Functional MTI,18227515
4228,MIRT004355,hsa-miR-126-3p,Homo sapiens,IRS1,3667.0,Homo sapiens,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,18834857
4229,MIRT004355,hsa-miR-126-3p,Homo sapiens,IRS1,3667.0,Homo sapiens,Luciferase reporter assay,Functional MTI,21464990
4230,MIRT004355,hsa-miR-126-3p,Homo sapiens,IRS1,3667.0,Homo sapiens,Luciferase reporter assay//Northern blot//qRT-PCR//Western blot,Functional MTI,23603512
4231,MIRT004355,hsa-miR-126-3p,Homo sapiens,IRS1,3667.0,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23893300
4894,MIRT005020,hsa-miR-126-3p,Homo sapiens,E2F1,1869.0,Homo sapiens,qRT-PCR,Non-Functional MTI (Weak),18521848
5275,MIRT005370,hsa-miR-126-3p,Homo sapiens,SOX2,6657.0,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,21304604
5276,MIRT005370,hsa-miR-126-3p,Homo sapiens,SOX2,6657.0,Homo sapiens,Luciferase reporter assay,Functional MTI,24384842
5406,MIRT005538,hsa-miR-126-3p,Homo sapiens,TWF1,5756.0,Homo sapiens,Luciferase reporter assay//Microarray//Northern blot//qRT-PCR//Western blot,Non-Functional MTI,20571053
5408,MIRT005540,hsa-miR-126-3p,Homo sapiens,TWF2,11344.0,Homo sapiens,Luciferase reporter assay//Microarray//Northern blot//qRT-PCR//Western blot,Non-Functional MTI,20571053
5592,MIRT005727,hsa-miR-126-3p,Homo sapiens,PTPN7,5778.0,Homo sapiens,Flow//Immunoprecipitaion//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,21163928
5593,MIRT005728,hsa-miR-126-5p,Homo sapiens,PTPN7,5778.0,Homo sapiens,Flow//Immunoprecipitaion//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,21163928
5594,MIRT005729,hsa-miR-126-3p,Homo sapiens,DNMT1,1786.0,Homo sapiens,Flow//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,21165896
5595,MIRT005729,hsa-miR-126-3p,Homo sapiens,DNMT1,1786.0,Homo sapiens,Flow//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,21538319
6403,MIRT006450,hsa-miR-126-3p,Homo sapiens,KRAS,3845.0,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,22384141
6507,MIRT006543,hsa-miR-126-3p,Homo sapiens,IGFBP2,3485.0,Homo sapiens,ELISA//Flow//Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,22170610
6508,MIRT006544,hsa-miR-126-3p,Homo sapiens,PITPNC1,26207.0,Homo sapiens,ELISA//Flow//Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,22170610
6509,MIRT006545,hsa-miR-126-3p,Homo sapiens,MERTK,10461.0,Homo sapiens,ELISA//Flow//Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,22170610
6529,MIRT006558,hsa-miR-126-3p,Homo sapiens,EGFL7,51162.0,Homo sapiens,Flow//Immunoblot//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot//Western blot;qRT-PCR;Other,Functional MTI,20034472
6530,MIRT006558,hsa-miR-126-3p,Homo sapiens,EGFL7,51162.0,Homo sapiens,Reporter assay,Non-Functional MTI,21249429
6619,MIRT006679,hsa-miR-126-3p,Homo sapiens,SLC7A5,8140.0,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,21439283
6620,MIRT006679,hsa-miR-126-3p,Homo sapiens,SLC7A5,8140.0,Homo sapiens,Flow//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26054677
6621,MIRT006679,hsa-miR-126-3p,Homo sapiens,SLC7A5,8140.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
6802,MIRT006831,hsa-miR-126-3p,Homo sapiens,PIK3CG,5294.0,Homo sapiens,Immunocytochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,22900072
6803,MIRT006831,hsa-miR-126-3p,Homo sapiens,PIK3CG,5294.0,Homo sapiens,Microarray//qRT-PCR//Western blot//SILAC (Stable Isotope Labeling of Amino acids in Culture),Functional MTI,23142521
6857,MIRT006883,hsa-miR-126-3p,Homo sapiens,TEK,7010.0,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,22867989
7311,MIRT007266,hsa-miR-126-3p,Homo sapiens,ADAM9,8754.0,Homo sapiens,Immunohistochemistry//In situ hybridization//Microarray//qRT-PCR//Western blot,Functional MTI,22064652
7312,MIRT007266,hsa-miR-126-3p,Homo sapiens,ADAM9,8754.0,Homo sapiens,Luciferase reporter assay,Functional MTI,23437250
7313,MIRT007266,hsa-miR-126-3p,Homo sapiens,ADAM9,8754.0,Homo sapiens,Western blot,Functional MTI,24823697
7314,MIRT007267,hsa-miR-126-5p,Homo sapiens,ADAM9,8754.0,Homo sapiens,Luciferase reporter assay,Functional MTI,23437250
7315,MIRT007268,hsa-miR-126-5p,Homo sapiens,MMP7,4316.0,Homo sapiens,Luciferase reporter assay,Functional MTI,23437250
7316,MIRT007269,hsa-miR-126-3p,Homo sapiens,MMP7,4316.0,Homo sapiens,Luciferase reporter assay,Functional MTI,23437250
7462,MIRT007380,hsa-miR-126-5p,Homo sapiens,CXCL12,6387.0,Homo sapiens,Luciferase reporter assay,Functional MTI,23396050
7463,MIRT007381,hsa-miR-126-3p,Homo sapiens,CXCL12,6387.0,Homo sapiens,Luciferase reporter assay,Functional MTI,23396050
13101,MIRT021281,hsa-miR-126-3p,Homo sapiens,CRKL,1399.0,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,24055140
13102,MIRT021282,hsa-miR-126-3p,Homo sapiens,PGR,5241.0,Homo sapiens,Reporter assay;Western blot,Functional MTI,21526342
36187,MIRT045695,hsa-miR-126-3p,Homo sapiens,RBMX,27316.0,Homo sapiens,CLASH,Functional MTI (Weak),23622248
36188,MIRT045696,hsa-miR-126-5p,Homo sapiens,CSGALNACT1,55790.0,Homo sapiens,CLASH,Functional MTI (Weak),23622248
44212,MIRT053249,hsa-miR-126-3p,Homo sapiens,FOXO3,2309.0,Homo sapiens,In situ hybridization//Luciferase reporter assay//Northern blot//qRT-PCR//Western blot,Functional MTI,23603512
44215,MIRT053253,hsa-miR-126-3p,Homo sapiens,BCL2,596.0,Homo sapiens,In situ hybridization//Luciferase reporter assay//Microarray//Northern blot//qRT-PCR//Western blot,Functional MTI,23603512
45130,MIRT054425,hsa-miR-126-3p,Homo sapiens,CXCR4,7852.0,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,23744532
45131,MIRT054425,hsa-miR-126-3p,Homo sapiens,CXCR4,7852.0,Homo sapiens,Luciferase reporter assay,Functional MTI,24189753
45132,MIRT054425,hsa-miR-126-3p,Homo sapiens,CXCR4,7852.0,Homo sapiens,qRT-PCR//Western blot,Functional MTI,24532280
48533,MIRT065784,hsa-miR-126-5p,Homo sapiens,HOXC8,3224.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
51620,MIRT078647,hsa-miR-126-5p,Homo sapiens,ICT1,3396.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
51857,MIRT079657,hsa-miR-126-5p,Homo sapiens,NAPG,8774.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
51858,MIRT079657,hsa-miR-126-5p,Homo sapiens,NAPG,8774.0,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
51859,MIRT079657,hsa-miR-126-5p,Homo sapiens,NAPG,8774.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
51860,MIRT079657,hsa-miR-126-5p,Homo sapiens,NAPG,8774.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
51861,MIRT079657,hsa-miR-126-5p,Homo sapiens,NAPG,8774.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
51862,MIRT079657,hsa-miR-126-5p,Homo sapiens,NAPG,8774.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
51945,MIRT079850,hsa-miR-126-5p,Homo sapiens,DSG2,1829.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
55785,MIRT092787,hsa-miR-126-5p,Homo sapiens,SETD5,55209.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
56027,MIRT093986,hsa-miR-126-5p,Homo sapiens,SLAIN2,57606.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
56207,MIRT094992,hsa-miR-126-5p,Homo sapiens,AFF4,27125.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
56837,MIRT097335,hsa-miR-126-5p,Homo sapiens,SCAMP1,9522.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
58884,MIRT103410,hsa-miR-126-5p,Homo sapiens,SNX10,29887.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
61062,MIRT116186,hsa-miR-126-5p,Homo sapiens,NUFIP2,57532.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
